id_oferta,titulo,empresa,fuente,fecha_publicacion,provincia,modalidad,nivel,tipo_contrato,salario_min,salario_max,moneda,habilidades,descripcion
OF-00001,Desarrollador Backend,TechMakers,LinkedIn,2025-05-12,Panamá,Presencial,Junior,Permanente,1450,,USD,".NET, Go, Java, Node.js","Buscamos Desarrollador Backend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en .NET, Go, Java, Node.js. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00002,Administrador de BD,Panama Digital,LinkedIn,2025-02-09,Panamá,Remoto,Semi Senior,Por Proyecto,,2950,USD,"MongoDB, Oracle, PostgreSQL, SQL","Buscamos Administrador de BD nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, Oracle, PostgreSQL, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00003,Administrador de BD,Cable & Wireless,encuentra24,2025-05-08,Panamá,Remoto,Semi Senior,Por Proyecto,2400,3050,USD,"MongoDB, Oracle, PostgreSQL, Python, SQL, Vue","Buscamos Administrador de BD nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, Oracle, PostgreSQL, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00004,Desarrollador Full Stack,DataPro Panamá,Konzerta,2025-05-30,Panamá,Presencial,Semi Senior,Por Proyecto,1400,1850,USD,"Python, React, SQL","Buscamos Desarrollador Full Stack nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Python, React, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00005,Desarrollador Frontend,MultiBank,encuentra24,2025-02-28,Panamá,Presencial,Junior,Por Proyecto,1300,1750,USD,"Git, JavaScript, React, TypeScript, Vue","Buscamos Desarrollador Frontend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Git, JavaScript, React, TypeScript. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00006,Ingeniero Cloud,Banistmo,encuentra24,2025-05-21,Panamá,Presencial,Senior,Permanente,3800,4700,USD,"AWS, Docker, Kubernetes, Python","Buscamos Ingeniero Cloud nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Docker, Kubernetes, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00007,Científico de Datos,Caja de Ahorros,LinkedIn,2025-05-16,Panamá,Remoto,Lead,Permanente,3550,,USD,"LLM/IA Generativa, Power BI, SQL","Buscamos Científico de Datos nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Power BI, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00008,Desarrollador Backend,,Computrabajo,2025-03-03,Panamá Oeste,Presencial,Senior,Por Proyecto,2350,3600,USD,".NET, C#, Git, Java","Buscamos Desarrollador Backend nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en .NET, C#, Git, Java. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00009,Científico de Datos,DataPro Panamá,encuentra24,2024-11-11,Panamá,Presencial,Junior,Permanente,1350,1900,USD,"LLM/IA Generativa, Power BI, Python","Buscamos Científico de Datos nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00010,Ingeniero de Datos,,LinkedIn,2025-05-26,Panamá Oeste,Híbrido,Lead,Permanente,3950,6100,USD,"AWS, PostgreSQL, Power BI, SQL, Spark, TypeScript, Vue","Buscamos Ingeniero de Datos nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en AWS, PostgreSQL, Power BI, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00011,Desarrollador Backend,MultiBank,LinkedIn,2025-01-21,Panamá,Remoto,Lead,Permanente,4000,5350,USD,".NET, Java, Node.js, Spring","Buscamos Desarrollador Backend nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en .NET, Java, Node.js, Spring. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00012,Desarrollador Backend,DataPro Panamá,encuentra24,2024-12-28,Panamá,Presencial,Senior,Permanente,,3200,USD,"Java, Node.js, Python","Buscamos Desarrollador Backend nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en Java, Node.js, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
